Time Stamp,RT Prices,DA Prices,Load Realized,Load Forecast,Capacity,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,Load-Capacity Ratio,HDD,CDD,Price Error,Load Error
2021-09-01 09:00:00,38.77583333333333,55.54,2942.6703249999996,2854.0,2652.5,21.5975,88.0,0.0,5.8603754,349.3804,1.0759660697455231,0.0,3.2974998474121087,-19.744166666666672,-78.3296750000004
2021-09-01 10:00:00,60.135,58.52,2981.649108333333,3021.0,2710.0,21.8975,86.0,0.0,0.35999998,270.0,1.1147601476014761,0.0,3.5974990844726555,-0.5949999999999989,-201.35089166666694
2021-09-01 11:00:00,75.4675,60.73,3034.346175,3183.0,2730.0,22.1475,91.0,0.0,6.9247384,27.897186,1.165934065934066,0.0,3.8474990844726555,11.367500000000007,-293.65382499999987
2021-09-01 12:00:00,58.98166666666666,64.1,3063.8771500000003,3328.0,2730.0,21.8975,93.0,0.0,9.387651,327.52884,1.2190476190476192,0.0,3.5974990844726555,-13.088333333333331,-415.12284999999974
2021-09-01 13:00:00,55.695,72.07,3074.5788,3479.0,2730.0,21.7975,91.0,0.4,8.049845,349.69522,1.2743589743589743,0.0,3.497500610351562,-16.374999999999993,-551.4212000000002
2021-09-01 14:00:00,75.2825,72.07,3083.7053833333334,3626.0,2700.0,22.0975,88.0,0.4,5.3999996,36.86998,1.342962962962963,0.0,3.7974998474121087,1.2824999999999989,-621.2946166666666
2021-09-01 15:00:00,49.666666666666664,74.0,3069.5590666666667,3705.0,2700.0,22.1475,82.0,0.0,14.182355,23.962492,1.3722222222222222,0.0,3.8474990844726555,-26.333333333333336,-678.4409333333333
2021-09-01 16:00:00,51.58916666666667,76.0,3065.6469666666667,3748.0,2700.0,21.8475,87.0,0.0,16.58346,27.121223,1.3881481481481481,0.0,3.5474998474121087,-29.08083333333333,-671.3530333333333
2021-09-01 17:00:00,64.72142857142858,80.67,3114.2777642857145,3737.0,2700.0,21.9975,78.0,0.0,16.1198,60.572647,1.384074074074074,0.0,3.697499465942382,-2.498571428571424,-509.7222357142855
2021-09-01 18:00:00,76.60416666666667,67.22,3106.4600750000004,3624.0,2700.0,23.8475,77.0,0.0,15.9134655,52.35232,1.3422222222222222,0.0,5.547499847412109,12.084166666666675,-328.5399249999996
2021-09-01 19:00:00,59.82,64.52,3066.9012166666666,3435.0,2660.0,21.2475,92.0,19.4,16.87398,33.6901,1.2913533834586466,0.0,2.947499465942382,-0.35999999999999943,-217.09878333333336
2021-09-01 20:00:00,39.219166666666666,60.18,2984.8674333333333,3284.0,2640.0,21.4475,88.0,9.7,19.513195,29.875906,1.243939393939394,0.0,3.1475002288818352,-17.920833333333334,-61.13256666666666
2021-09-01 21:00:00,81.41666666666667,57.14,2900.7339583333337,3046.0,2545.0,20.8975,84.0,0.0,20.696087,40.06073,1.1968565815324166,0.0,2.5974990844726555,25.73666666666667,112.7339583333337
2021-09-01 22:00:00,117.87153846153845,55.68,2778.316630769231,2788.0,2281.25,20.3475,88.0,0.4,13.755579,47.12111,1.2221369863013698,0.0,2.0474998474121087,70.44153846153844,237.31663076923087
2021-09-01 23:00:00,82.10833333333333,47.43,2595.80646,2541.0,2439.1666666666665,20.3475,89.0,4.7,20.570463,32.85573,1.041749231294841,0.0,2.0474998474121087,16.828333333333333,354.8064599999998
2021-09-02 00:00:00,98.49000000000001,65.28,2347.7136285714287,2241.0,2430.0,20.2475,93.0,6.1,20.808498,30.113651,0.9222222222222223,0.0,1.947499465942382,42.95000000000001,258.71362857142867
2021-09-02 01:00:00,55.535,55.54,2161.0053416666665,2089.0,2430.0,20.5975,96.0,4.0,20.172853,34.82457,0.8596707818930042,0.0,2.2974998474121087,0.6949999999999932,180.00534166666648
2021-09-02 02:00:00,50.54333333333333,54.84,2015.94775,1981.0,2384.1666666666665,21.2475,100.0,0.0,26.944744,22.796566,0.8308982873121287,0.0,2.947499465942382,-1.81666666666667,94.94775000000004
2021-09-02 03:00:00,26.631666666666664,52.36,1924.6878083333334,1921.0,2396.6666666666665,23.1975,95.0,1.8,23.143827,105.33334,0.8015299026425592,0.0,4.897500228881835,-24.81833333333334,7.687808333333351
2021-09-02 04:00:00,27.073333333333334,51.45,1905.0425583333333,1917.0,2460.0,24.0975,92.0,2.5,19.8,180.0,0.7792682926829269,0.0,5.797499847412109,-25.156666666666663,-75.95744166666668
2021-09-02 05:00:00,27.151666666666667,52.23,1940.0499416666669,1981.0,2460.0,20.9475,96.0,1.4,11.019764,321.63248,0.8052845528455285,0.0,2.6475002288818352,-19.198333333333334,-123.95005833333312
2021-09-02 06:00:00,25.120833333333334,46.35,2054.373666666667,2064.0,2460.0,18.9975,89.0,1.1,28.202042,345.9637,0.8390243902439024,0.0,0.6974994659423821,-24.699166666666667,-156.62633333333315
2021-09-02 07:00:00,41.19166666666667,49.82,2172.5964333333336,2211.0,2460.0,16.7975,92.0,0.4,33.75756,352.6477,0.8987804878048781,1.5024993896484382,0.0,-10.528333333333329,-235.4035666666664
2021-09-02 08:00:00,30.795833333333334,51.72,2278.5314583333334,2408.0,2460.0,16.7475,90.0,0.0,33.847656,1.218852,0.9788617886178862,1.552500534057618,0.0,-24.124166666666667,-302.4685416666666
2021-09-02 09:00:00,31.491666666666664,54.92,2332.7933083333332,2581.0,2460.0,16.7475,90.0,0.0,26.727423,355.36462,1.0491869918699186,1.552500534057618,0.0,-20.13833333333334,-392.20669166666676
2021-09-02 10:00:00,43.7425,51.63,2384.8928333333333,2725.0,2460.0,16.6975,89.0,0.0,26.434887,330.64233,1.1077235772357723,1.6024997711181648,0.0,-9.907499999999999,-488.10716666666667
